rex_ticker,rex_suite,rex_strategy,competitor_tickers,competitor_logic,notes
ATCL US,Autocallable,Laddered S&P 500 autocallable income strategy,ACEI US|ACII US|ACYN US|ACYS US|CAGE US|CAIE US|CAIQ US|JELH US|JELM US|PAYH US|PAYM US|SBAR US|VAIE US,"Index-linked autocallable income ETFs (Calamos, FT Vest, Innovator, TrueShares, Janus, Simplify)",
BNBR US,Crypto,Spot BNB ETF (spot+staking) - BNB + staking,OBNB US,Spot BNB ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,
DOJE US,Crypto,Spot DOGE ETF (spot) - Dogecoin,,Spot DOGE ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,No direct US spot DOGE ETF competitor identified
ESK US,Crypto,Spot ETH ETF (spot+staking) - Ether + staking,ETH US|ETHA US|ETHB US|ETHE US|ETHV US|ETHW US|EZET US|FETH US,Spot ETH ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,
OBTC US,Crypto,Spot BTC ETF (spot) - Bitcoin,ARKB US|BITB US|BRRR US|BTC US|BTCO US|BTCW US|EZBC US|FBTC US|GBTC US|HODL US|IBIT US,Spot BTC ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,
SSK US,Crypto,Spot SOL ETF (spot+staking) - Solana + staking,BSOL US|FSOL US|GSOL US|SOLZ US,Spot SOL ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,
XRPR US,Crypto,Spot XRP ETF (spot) - XRP,GXRP US|TOXR US|XRP US|XRPC US|XRPZ US,Spot XRP ETF peers; REX/Osprey adds staking yield on ETH/SOL/BNB where applicable,
AIPI US,Equity Premium Income,Covered call on AI / semiconductor basket,CHAT US|FEPI US|GPIX US|JEPQ US|QQQI US|QYLD US,Tech / AI covered-call income peers,
CEGI LN,Equity Premium Income,UCITS crypto-equity covered call + growth,BTCI US|CEPI US,UCITS wrapper; crypto-equity income + growth,UCITS-listed; competitor set is US analogues plus sister UCITS
CEPI US,Equity Premium Income,Covered call on crypto-equity basket (BTC / ETH / mining / exchanges),BTCI US|LFGY US|NEHI US|XBCI US|YBTC US,Crypto-equity covered-call income ETFs,
