ticker,etp_category,reason
AMEM US,,false_positive_amana_developing_world_is_equity_em_not_income
BECO US,,false_positive
BFTR US,,false_positive
BTEK US,,false_positive
COWS US,,false_positive
DUNK US,,false_positive
EMSF US,,false_positive
FFND US,,false_positive
FFOX US,,false_positive
FITE US,,false_positive
FOWF US,,false_positive
FUT US,,false_positive
GBUY US,,false_positive
GCC US,,false_positive
GREI US,,false_positive
GSFP US,,false_positive
IDAT US,,false_positive
KSTR US,,false_positive
LRGE US,,false_positive
MAGS US,,false_positive
MATE US,,false_positive
PP US,,false_positive
QQQJ US,,false_positive
RDVY US,,false_positive
VSDA US,,false_positive
WTMF US,,false_positive
YUMY US,,false_positive
KMCA US,,country_focus
NYNY US,,regional_focus
BUYB US,,factor_only
CLUB US,,factor_only
TPFC US,,factor_only
TPFG US,,factor_only
TPFI US,,fixed_income
PCEB US,,fixed_income
CLOO US,,fixed_income
AGGZ US,,"auto-llm-other: Enhanced fixed income ETF with no leverage, derivatives strategy, or thematic tilt—standard bond fund variant."
HYGA US,,auto-llm-other: Enhanced credit ETF with fixed income focus and no leverage or structural derivative strategy evident.
LQID US,,"auto-llm-other: Short maturity fixed income ETF with no leverage, derivatives, or thematic exposure."
SHRD US,,"auto-llm-other: Catholic values-aligned bond ETF with no leverage, derivatives strategy, or structural complexity."
TOAO US,,"auto-llm-other: Mixed allocation active fund without clear leverage, derivative strategy, or thematic focus; appears to be a traditional balanced ETF."
TOEQ US,,"auto-llm-other: Mixed allocation active fund without identifiable leverage, derivatives, or thematic tilt; standard balanced equity-focused product."
EMFI US,,"auto-llm-other: Emerging markets debt ETF is a fixed income product not fitting leverage, crypto, or defined categories."
IBMX US,,auto-llm-other: Term bond ETF with 2035 maturity target; standard fixed income ladder strategy without leverage.
BAY US,,auto-llm-other: Geographic single-region (Bay Area) equity ETF is a localized strategy outside thematic or sector focus.
LQ US,,auto-llm-other: Tax-aware alternatives ETF blends multiple alternative asset classes without a single primary focus.
FUSD US,,"auto-llm-other: Ultrashort bond ETF is fixed-income focused with near-zero duration, not equity or derivative-based."
GOVM US,,auto-llm-other: Treasury bond ETF is a traditional fixed income product outside REX Financial's derivative-based categories.
BFLX US,,"auto-llm-other: Actively managed flexible equity strategy does not fit leveraged, crypto, or defined outcome profiles."
HIS US,,auto-llm-other: US focused opportunities ETF is a traditional active equity strategy without leverage or defined structure.
NUDG US,,auto-llm-other: Dividend growth ETF is a conventional equity income strategy outside REX's specialized product categories.
JTNY US,,auto-llm-other: Municipal bond ETF is a traditional fixed income product outside REX Financial's categories.
PJUS US,,auto-llm-other: Core US equity ETF is a conventional broad-based equity strategy without leverage or structured outcomes.
AAAD US,,auto-llm-other: CLO aggregate duration bond ETF is a traditional fixed income product outside REX's categories.
PINC US,,auto-llm-other: Securitized income ETF is a traditional fixed income strategy without leverage or derivative structure.
JCAL US,,auto-llm-other: Municipal bond ETF is a traditional fixed income product outside REX Financial's specialized categories.
ESTA GR,,auto-llm-other: Corporate bond short duration strategy is a conventional fixed income product outside REX's categories.
GIEQ US,,auto-llm-other: Data-enhanced international equity ETF is a conventional equity strategy without leverage or defined structure.
UUPP US,,auto-llm-other: CLO bond ETF is a traditional fixed income product outside REX Financial's leverage and structured categories.
AAAC US,,"auto-llm-other: CLO (Collateralized Loan Obligation) ETF is a specialized fixed income product that doesn't fit LI, CC, Crypto, Defined, or Thematic categories."
BRIB US,,"auto-llm-other: Core bond ETF is a standard fixed income product outside LI, CC, Crypto, Defined, or Thematic categories."
BTOT US,,"auto-llm-other: Total USD fixed income market ETF is a broad bond index fund with no leverage, derivatives, or thematic focus."
CCOM US,,auto-llm-other: Chinese commodities strategy ETF focuses on commodity exposure without leverage or defined outcome structures.
