category,ticker,fund_name,current_map,expected,status,confidence
Defined,AAPR US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO APRIL 2028,Buffer,Buffer,OK,HIGH
Defined,ABUF US,APTUS LADDERED BUFFER ETF,Buffer,Ladder,MISMATCH,HIGH
Defined,AIOO US,ALLIANZIM U.S. EQUITY BUFFER100 PROTECTION ETF,Buffer,Buffer,OK,HIGH
Defined,AJAN US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JANUARY 2028,Buffer,Buffer,OK,HIGH
Defined,AJUL US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JULY 2026,Buffer,Buffer,OK,HIGH
Defined,AOCT US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO OCTOBER 2026,Buffer,Buffer,OK,HIGH
Defined,APOC US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 6 MO APR/OCT,Buffer,Buffer,OK,HIGH
Defined,APRB US,APTUS APRIL BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,APRH US,INNOVATOR PREMIUM INCOME 20 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
Defined,APRJ US,INNOVATOR PREMIUM INCOME 30 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
Defined,APRP US,PGIM S&P 500 BUFFER 12 ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,APRT US,ALLIANZIM US EQUITY BUFFER10 APR ETF,Buffer,Buffer,OK,HIGH
Defined,APRW US,ALLIANZIM US EQ BUFFER20 APR,Buffer,Buffer,OK,HIGH
Defined,APRZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME APRIL ETF,Outcome,Outcome,OK,MEDIUM
Defined,APXM US,FT VEST US EQUITY MAX BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
Defined,ARKD US,ARK DIET Q1 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARKI US,ARK DIET Q2 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARKT US,ARK DIET Q4 BUFFER ETF,Buffer,Buffer,OK,HIGH
Defined,ARLI US,ALLIANZIM INTERNATIONAL EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
Defined,ARLU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
Defined,AUGM US,FT VEST US EQUITY MAX BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,AUGP US,PGIM S&P 500 BUFFER 12 ETF - AUGUST,Buffer,Buffer,OK,HIGH
Defined,AUGT US,ALLIANZIM US EQUITY BUFFER10 AUG ETF,Buffer,Buffer,OK,HIGH
Defined,AUGU US,ALLIANZIM U.S. EQUITY BUFFER15 UNCAPPED AUG ETF,Buffer,Buffer,OK,HIGH
Defined,AUGW US,ALLIANZIM US EQ BUFFER20 AUG,Buffer,Buffer,OK,HIGH
