ticker,fund_name,issuer,column,existing_value,suggested_value,confidence
497780 KS,SAMSUNGACTIVE KOACT US NATURAL GAS INFRASTRUCTURE ACTIVE ETF,Samsung Asset Management Co Lt,asset_class,Commodity,Equity,HIGH
AAAA US,AMPLIUS AGGRESSIVE ASSET ALLOCATION ETF,EA Series Trust,sub_strategy,Allocation,Broad,HIGH
AALG US,LEVERAGE SHARES 2X LONG AAL DAILY ETF,Themes ETF Trust,underlier_name,AAL US,AAL,HIGH
AALG US,LEVERAGE SHARES 2X LONG AAL DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
AAOX US,TRADR 2X LONG AAOI DAILY ETF,Investment Managers Series Tru,mechanism,physical,swap,HIGH
AAPB US,GRANITESHARES 2X LONG AAPL DAILY ETF,GraniteShares ETF Trust,underlier_name,AAPL US,AAPL,HIGH
AAPB US,GRANITESHARES 2X LONG AAPL DAILY ETF,GraniteShares ETF Trust,mechanism,physical,swap,HIGH
AAPD US,DIREXION DAILY AAPL BEAR 1X ETF,Direxion ETFs/USA,underlier_name,AAPL US,AAPL,HIGH
AAPD US,DIREXION DAILY AAPL BEAR 1X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AAPR US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO APRIL 2028,Innovator ETF Trust,mechanism,physical,options,HIGH
AAPU US,DIREXION DAILY AAPL BULL 2X ETF,Direxion ETFs/USA,underlier_name,AAPL US,AAPL,HIGH
AAPU US,DIREXION DAILY AAPL BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AAPW US,ROUNDHILL AAPL WEEKLYPAY ETF,Roundhill ETF Trust,sub_strategy,Derivative Income > Covered Call,Derivative Income > 0DTE / Weekly,HIGH
AAPW US,ROUNDHILL AAPL WEEKLYPAY ETF,Roundhill ETF Trust,underlier_name,AAPL US,AAPL,HIGH
AAPW US,ROUNDHILL AAPL WEEKLYPAY ETF,Roundhill ETF Trust,mechanism,physical,swap,HIGH
AAPX US,T-REX 2X LONG APPLE DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,underlier_name,AAPL US,AAPL,HIGH
AAPX US,T-REX 2X LONG APPLE DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,mechanism,physical,swap,HIGH
AAPY US,KURV YIELD PREMIUM STRATEGY APPLE AAPL ETF/DE,Kurv ETF Trust,underlier_name,AAPL US,AAPL,HIGH
AAPY US,KURV YIELD PREMIUM STRATEGY APPLE AAPL ETF/DE,Kurv ETF Trust,mechanism,physical,options,HIGH
AAVM US,ALPHA ARCHITECT GLOBAL FACTOR EQUITY ETF,EA Series Trust,primary_strategy,Risk Mgmt,Plain Beta,HIGH
AAVM US,ALPHA ARCHITECT GLOBAL FACTOR EQUITY ETF,EA Series Trust,sub_strategy,Alternatives,Broad,HIGH
ABI US,VICTORYSHARES PIONEER ASSET-BASED INCOME ETF,Victory Portfolios II,mechanism,physical,options,MEDIUM
ABLD US,ABACUS FCF REAL ASSETS LEADERS ETF,Abacus FCF ETFs/USA,sub_strategy,Thematic,Broad,LOW
ABNG US,LEVERAGE SHARES 2X LONG ABNB DAILY ETF,Themes ETF Trust,underlier_name,ABNB US,ABNB,HIGH
ABNG US,LEVERAGE SHARES 2X LONG ABNB DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
ABNY US,YIELDMAX ABNB OPTION INCOME STRATEGY ETF,Tidal Trust II,underlier_name,ABNB US,ABNB,HIGH
ABNY US,YIELDMAX ABNB OPTION INCOME STRATEGY ETF,Tidal Trust II,mechanism,physical,options,HIGH
ABUF US,APTUS LADDERED BUFFER ETF,ETF Series Solutions/Aptus Cap,mechanism,physical,options,HIGH
ACEI US,INNOVATOR EQUITY AUTOCALLABLE INCOME STRATEGY ETF,Innovator ETF Trust,asset_class,Equity,Multi-Asset,HIGH
ACEI US,INNOVATOR EQUITY AUTOCALLABLE INCOME STRATEGY ETF,Innovator ETF Trust,mechanism,physical,swap,HIGH
ACII US,INNOVATOR INDEX AUTOCALLABLE INCOME STRATEGY ETF,Innovator ETF Trust,asset_class,Equity,Multi-Asset,HIGH
ACII US,INNOVATOR INDEX AUTOCALLABLE INCOME STRATEGY ETF,Innovator ETF Trust,mechanism,physical,swap,HIGH
ACIO US,APTUS COLLARED INVESTMENT OPPORTUNITY ETF,ETF Series Solutions/Aptus Cap,sub_strategy,Derivative Income > Covered Call,Derivative Income > Collared,MEDIUM
ACIO US,APTUS COLLARED INVESTMENT OPPORTUNITY ETF,ETF Series Solutions/Aptus Cap,mechanism,physical,options,HIGH
ACKY US,VISTASHARES TARGET 15 ACKTIVIST SELECT INCOME ETF,Tidal Trust III,primary_strategy,Income,Plain Beta,LOW
ACKY US,VISTASHARES TARGET 15 ACKTIVIST SELECT INCOME ETF,Tidal Trust III,sub_strategy,Derivative Income > Covered Call,Broad,LOW
ACKY US,VISTASHARES TARGET 15 ACKTIVIST SELECT INCOME ETF,Tidal Trust III,mechanism,physical,options,MEDIUM
ACYN US,FT VEST LADDERED AUTOCALLABLE BARRIER & INCOME ETF,First Trust Exchange-Traded Fu,primary_strategy,Income,Defined Outcome,MEDIUM
ACYN US,FT VEST LADDERED AUTOCALLABLE BARRIER & INCOME ETF,First Trust Exchange-Traded Fu,sub_strategy,Structured Product Income > Autocallable,Buffer,MEDIUM
ACYN US,FT VEST LADDERED AUTOCALLABLE BARRIER & INCOME ETF,First Trust Exchange-Traded Fu,mechanism,physical,options,HIGH
ADBG US,LEVERAGE SHARES 2X LONG ADBE DAILY ETF,Themes ETF Trust,underlier_name,ADBE US,ADBE,HIGH
ADBG US,LEVERAGE SHARES 2X LONG ADBE DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
ADBU US,DIREXION DAILY ADBE BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
ADPV US,ADAPTIV SELECT ETF,Series Portfolios Trust,primary_strategy,Risk Mgmt,Plain Beta,HIGH
ADPV US,ADAPTIV SELECT ETF,Series Portfolios Trust,sub_strategy,Alternatives,Broad,HIGH
ADZCF US,DB AGRICULTURE SHORT EXCHANGE TRADED NOTES,DB ETNs/USA,mechanism,physical,swap,HIGH
AEMS US,ANFIELD ENHANCED MARKET ETF,Two Roads Shared Trust/Anfield,mechanism,physical,options,MEDIUM
AESR US,ANFIELD US EQUITY SECTOR ROTATION ETF,Two Roads Shared Trust/Anfield,sub_strategy,Sector,Broad,LOW
AETH US,BITWISE TRENDWISE ETHER AND TREASURIES ROTATION STRATEGY ETF,Bitwise Funds Trust,underlier_name,crypto + traditional asset,Ethereum,MEDIUM
AETH US,BITWISE TRENDWISE ETHER AND TREASURIES ROTATION STRATEGY ETF,Bitwise Funds Trust,concentration,single,basket,MEDIUM
AETH US,BITWISE TRENDWISE ETHER AND TREASURIES ROTATION STRATEGY ETF,Bitwise Funds Trust,mechanism,physical,options,MEDIUM
AFRU US,T-REX 2X LONG AFRM DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,underlier_name,AFRM US,AFRM,HIGH
AFRU US,T-REX 2X LONG AFRM DAILY TARGET ETF,ETF Opportunities Trust/REX Sh,mechanism,physical,swap,HIGH
AGFXF US,DB AGRICULTURE LONG EXCHANGE TRADED NOTES,DB ETNs/USA,mechanism,physical,options,MEDIUM
AGGH US,SIMPLIFY AGGREGATE BOND ETF,Simplify Exchange Traded Funds,mechanism,physical,swap,HIGH
AGGZ US,TWIN OAK ENHANCED FIXED INCOME ETF,Twin Oak ETF Co/USA,mechanism,physical,swap,HIGH
AGIQ US,SOFI AGENTIC AI ETF,Tidal Trust I,sub_strategy,Thematic,Broad,LOW
AGMI US,THEMES SILVER MINERS ETF,Themes ETF Trust,asset_class,Commodity,Equity,HIGH
AGMI US,THEMES SILVER MINERS ETF,Themes ETF Trust,sub_strategy,Broad,Sector,MEDIUM
AGQ US,PROSHARES ULTRA SILVER,ProShares Trust II,direction,long,neutral,HIGH
AGQ US,PROSHARES ULTRA SILVER,ProShares Trust II,underlier_name,XAG Curncy,XAG,HIGH
AGQ US,PROSHARES ULTRA SILVER,ProShares Trust II,mechanism,physical,swap,HIGH
AGQI US,FIRST TRUST ACTIVE GLOBAL QUALITY INCOME ETF,First Trust Exchange-Traded Fu,sub_strategy,Style,Broad,MEDIUM
AGRH US,ISHARES INTEREST RATE HEDGED U.S. AGGREGATE BOND ETF,iShares US ETF Trust,asset_class,Fixed Income,Multi-Asset,HIGH
AGRH US,ISHARES INTEREST RATE HEDGED U.S. AGGREGATE BOND ETF,iShares US ETF Trust,mechanism,physical,swap,HIGH
AHLT US,AMERICAN BEACON AHL TREND ETF,American Beacon Funds,asset_class,Equity,Multi-Asset,HIGH
AIBD US,DIREXION DAILY AI AND BIG DATA BEAR 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AIBU US,DIREXION DAILY AI AND BIG DATA BULL 2X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AINT US,FINQ DOLLAR NEUTRAL US LARGE CAP AI-MANAGED EQUITY ETF,Tidal Trust I,sub_strategy,Thematic,Broad,HIGH
AIOO US,ALLIANZIM U.S. EQUITY BUFFER100 PROTECTION ETF,AIM ETF Products Trust,mechanism,physical,options,HIGH
AIPI US,REX AI EQUITY PREMIUM INCOME ETF,Rex Shares/ETF Opportunities T,mechanism,physical,options,HIGH
AIRR US,FIRST TRUST RBA AMERICAN INDUSTRIAL RENAISSANCE ETF,First Trust Exchange-Traded Fu,sub_strategy,Broad,Sector,MEDIUM
AIUP US,FINQ FIRST US LARGE CAP AI-MANAGED EQUITY ETF,Tidal Trust I,sub_strategy,Thematic,Broad,LOW
AIYY US,YIELDMAX AI OPTION INCOME STRATEGY ETF,Tidal Trust II,underlier_name,AI US,AI,HIGH
AIYY US,YIELDMAX AI OPTION INCOME STRATEGY ETF,Tidal Trust II,mechanism,physical,options,HIGH
AJAN US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JANUARY 2028,Innovator ETF Trust,mechanism,physical,options,HIGH
AJUL US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JULY 2026,Innovator ETF Trust,mechanism,physical,options,HIGH
ALBG US,LEVERAGE SHARES 2X LONG ALB DAILY ETF,Themes ETF Trust,underlier_name,ALB US,ALB,HIGH
ALBG US,LEVERAGE SHARES 2X LONG ALB DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
ALLW US,STATE STREET BRIDGEWATER ALL WEATHER ETF,SSGA Active Trust,sub_strategy,Allocation,Broad,HIGH
ALLW US,STATE STREET BRIDGEWATER ALL WEATHER ETF,SSGA Active Trust,mechanism,physical,swap,HIGH
ALTY US,GLOBAL X ALTERNATIVE INCOME ETF,Global X ETFs/USA,primary_strategy,Income,Plain Beta,HIGH
ALTY US,GLOBAL X ALTERNATIVE INCOME ETF,Global X ETFs/USA,sub_strategy,Alternative Income,Broad,HIGH
AMAX US,ADAPTIVE HEDGED MULTI-ASSET INCOME ETF,Starboard Investment Trust,sub_strategy,Allocation,Broad,HIGH
AMDD US,DIREXION DAILY AMD BEAR 1X ETF,Direxion ETFs/USA,underlier_name,AMD US,AMD,HIGH
AMDD US,DIREXION DAILY AMD BEAR 1X ETF,Direxion ETFs/USA,mechanism,physical,swap,HIGH
AMDG US,LEVERAGE SHARES 2X LONG AMD DAILY ETF,Themes ETF Trust,underlier_name,AMD US,AMD,HIGH
AMDG US,LEVERAGE SHARES 2X LONG AMD DAILY ETF,Themes ETF Trust,mechanism,physical,swap,HIGH
AMDL US,GRANITESHARES 2X LONG AMD DAILY ETF,GraniteShares ETF Trust,underlier_name,AMD US,AMD,HIGH
AMDL US,GRANITESHARES 2X LONG AMD DAILY ETF,GraniteShares ETF Trust,mechanism,physical,swap,HIGH
AMDW US,ROUNDHILL AMD WEEKLYPAY ETF,Roundhill ETF Trust,sub_strategy,Derivative Income > Covered Call,Derivative Income > 0DTE / Weekly,HIGH
AMDW US,ROUNDHILL AMD WEEKLYPAY ETF,Roundhill ETF Trust,underlier_name,AMD US,AMD,HIGH
AMDW US,ROUNDHILL AMD WEEKLYPAY ETF,Roundhill ETF Trust,mechanism,physical,swap,HIGH
AMDY US,YIELDMAX AMD OPTION INCOME STRATEGY ETF,Tidal Trust II,underlier_name,AMD US,AMD,HIGH
AMDY US,YIELDMAX AMD OPTION INCOME STRATEGY ETF,Tidal Trust II,mechanism,physical,options,HIGH
AMJB US,ALERIAN MLP INDEX ETNS DUE JANUARY 28 2044,JP Morgan ETNs/USA,sub_strategy,Broad,Sector,MEDIUM
AMLP US,ALERIAN MLP ETF,ALPS ETF Trust,sub_strategy,Broad,Sector,MEDIUM
